user,web_hearts,design_hearts,machine_learning_hearts,statistics_hearts,deep_learning_hearts,algorithm_hearts,nlp_hearts,basic_python_hearts,data_analysis_hearts,voice_recog_hearts,computer_vision_hearts,rec_system_hearts,reinforcement_hearts,study_sum
서팔광,1,0,0,1,3,0,0,0,0,0,5,0,0,10
김덕협,0,0,8,0,0,0,0,0,0,0,2,0,0,10
마석대,1,0,1,0,0,0,0,0,0,0,8,0,0,10
김억두,0,0,7,0,0,0,0,0,0,0,3,0,0,10
왕대협,1,0,6,3,0,0,0,0,0,0,0,0,0,10
여춘팔,1,0,3,4,0,0,0,0,0,1,1,0,0,10
홍혁팔,1,0,3,4,0,0,0,0,0,0,2,0,0,10
배팔식,0,0,1,1,0,0,0,0,0,0,8,0,0,10
마춘동,1,0,0,0,1,0,0,0,0,0,8,0,0,10
두만식,1,0,5,3,0,0,0,0,0,0,1,0,0,10
남혁동,1,0,1,0,0,0,0,0,0,0,8,0,0,10
강팔춘,1,0,8,1,0,0,0,0,0,0,0,0,0,10
허문탁,1,0,4,0,0,2,0,0,0,0,3,0,0,10
탁귀필,1,0,3,1,0,0,0,0,0,0,5,0,0,10
염묵흥,0,0,3,0,0,0,0,0,0,0,7,0,0,10
문근철,1,0,7,0,0,0,0,0,0,0,2,0,0,10
주광창,1,0,0,1,1,3,0,0,0,0,4,0,0,10
조덕출,1,0,3,4,0,0,0,0,0,0,2,0,0,10
한필효,0,0,9,0,0,0,0,0,0,0,1,0,0,10
엄대두,0,0,5,3,0,0,0,0,0,0,2,0,0,10
황필조,0,0,5,0,5,0,0,0,0,0,0,0,0,10
피수헉,0,0,3,2,0,0,0,0,0,0,5,0,0,10
팔광구,1,0,2,1,0,0,0,0,0,0,6,0,0,10
황지필,1,0,1,4,0,2,1,0,0,0,1,0,0,10
나대물,1,0,2,0,0,0,0,0,0,0,5,0,2,10
계식도,0,0,1,0,1,1,2,1,0,0,4,0,0,10
배용팔,1,0,6,2,0,0,0,0,0,0,1,0,0,10
표팔제,1,0,0,0,0,0,0,0,0,0,9,0,0,10
홍학철,0,0,0,0,0,0,0,0,0,0,10,0,0,10
한만재,0,0,5,1,0,0,0,0,0,0,4,0,0,10
박두창,0,0,2,2,1,0,0,0,0,0,5,0,0,10
조대척,0,0,2,1,2,3,1,0,0,0,1,0,0,10
곽팔의,1,0,4,0,0,1,0,0,0,1,3,0,0,10
성두홍,1,0,0,3,0,3,0,0,0,0,3,0,0,10
김규억,1,0,3,2,0,0,0,0,0,0,4,0,0,10
홍피살,0,0,5,1,0,0,0,0,0,0,4,0,0,10
여춘계,1,0,2,0,0,0,0,0,0,0,7,0,0,10
조국관,1,0,0,0,1,0,0,0,0,0,8,0,0,10
용덕출,1,0,5,0,0,0,0,0,0,0,4,0,0,10
양팔두,0,0,3,2,0,3,0,0,0,0,2,0,0,10
홍필계,0,0,0,0,0,0,0,0,0,0,10,0,0,10
한확철,1,0,0,0,0,0,0,0,0,0,9,0,0,10
묵정호,1,0,4,1,0,0,1,0,0,0,3,0,0,10
장체출,1,0,3,1,1,0,0,0,0,0,4,0,0,10
엄덕구,1,0,6,0,0,0,0,0,0,0,3,0,0,10
곽철용,1,0,1,1,0,0,0,0,0,0,7,0,0,10
김일제,0,0,1,4,0,0,0,0,0,0,5,0,0,10
유덕창,1,0,1,1,1,1,0,0,0,0,5,0,0,10
최덕복,1,0,4,1,3,0,0,0,0,0,1,0,0,10
두만욱,0,0,5,0,1,0,0,0,0,0,4,0,0,10
엄석용,0,0,0,1,2,2,0,0,0,0,5,0,0,10
문태범,0,0,0,3,1,2,0,0,0,0,4,0,0,10
하우돈,0,0,0,2,2,0,0,0,0,0,6,0,0,10
허곽의,0,0,3,2,1,2,1,0,0,0,1,0,0,10
사마철,0,0,0,3,0,0,1,0,0,0,6,0,0,10
장돉지,1,0,2,0,0,1,0,0,0,0,6,0,0,10
허익덕,0,0,2,0,1,0,0,0,0,0,7,0,0,10
우암철,0,0,1,0,4,0,1,1,0,0,3,0,0,10
김근척,0,0,1,4,3,0,1,0,0,0,1,0,0,10
박남살,1,0,2,0,3,1,0,0,0,0,3,0,0,10
허척살,1,0,1,7,0,0,1,0,0,0,0,0,0,10
남기설,0,0,0,5,0,0,0,0,0,0,5,0,0,10
양수형,1,0,6,3,0,0,0,0,0,0,0,0,0,10
김교살,1,0,0,1,1,0,0,0,0,1,6,0,0,10
오길석,1,0,6,1,0,0,0,0,0,0,2,0,0,10
장익대,1,0,0,2,1,1,0,0,0,0,5,0,0,10
방여의,1,0,6,0,0,0,0,0,0,0,3,0,0,10
조왕몽,0,0,1,0,0,0,0,0,0,0,9,0,0,10
서방출,0,0,3,0,0,1,0,0,0,0,6,0,0,10
곽마권,0,0,5,0,0,0,1,0,0,0,4,0,0,10
황충유,0,0,0,0,0,0,0,0,0,0,10,0,0,10
손필견,0,0,1,1,0,0,0,0,0,0,8,0,0,10
권필쌍,0,0,1,0,0,0,0,0,0,0,9,0,0,10
허태유,1,0,0,0,3,0,0,1,0,0,5,0,0,10
구동범,0,0,1,0,0,0,1,0,1,0,5,0,2,10
허계도,0,0,1,0,0,0,0,0,0,0,9,0,0,10
길원춘,1,0,3,0,0,0,0,0,0,0,6,0,0,10
천태랑,0,0,1,6,0,0,0,0,1,0,2,0,0,10
무인희,0,0,8,2,0,0,0,0,0,0,0,0,0,10
시효창,1,0,0,8,0,0,0,0,0,0,1,0,0,10
천원창,1,0,0,0,0,0,0,0,0,0,9,0,0,10
신혈군,0,0,4,3,0,0,0,0,0,0,3,0,0,10
손무길,1,0,0,0,0,0,0,0,0,0,9,0,0,10
조북천,1,0,2,5,0,0,0,0,0,0,2,0,0,10
좌병덕,0,0,5,1,0,0,2,0,0,0,2,0,0,10
조창건,1,0,1,0,0,0,0,0,0,0,8,0,0,10
목겸중,0,0,4,1,0,1,0,0,0,0,4,0,0,10
전병반,1,0,9,0,0,0,0,0,0,0,0,0,0,10
소천륭,0,0,2,5,0,1,1,0,0,0,1,0,0,10
심존보,1,0,0,0,0,0,0,0,0,0,9,0,0,10
북조방,0,0,3,0,6,0,0,0,0,0,1,0,0,10
구섬교,1,0,1,0,0,0,0,0,0,0,8,0,0,10
마풍강,0,0,0,1,0,0,0,0,0,0,9,0,0,10
가원창,1,0,3,0,1,0,1,1,0,0,3,0,0,10
오신평,1,0,3,3,2,0,0,0,0,0,1,0,0,10
방신마,1,1,7,0,1,0,0,0,0,0,0,0,0,10
신장전,0,0,2,8,0,0,0,0,0,0,0,0,0,10
금천규,1,0,3,2,0,1,0,0,0,0,3,0,0,10
도엽철,0,0,3,1,2,1,0,0,0,0,3,0,0,10
명지광,0,0,4,0,0,0,0,0,0,0,6,0,0,10
강주덕,0,0,9,0,0,0,1,0,0,0,0,0,0,10
태백흥,1,0,1,1,0,0,0,0,1,0,6,0,0,10
유확표,0,0,1,0,0,0,0,0,0,0,8,1,0,10
좌청룡,0,0,9,0,0,0,0,0,0,0,1,0,0,10
우백호,1,0,5,0,2,1,0,0,0,0,1,0,0,10
박격포,0,0,0,2,0,0,0,0,0,0,8,0,0,10
용맥덕,1,0,6,0,0,0,0,0,0,0,3,0,0,10
우극창,1,0,1,2,0,0,0,0,0,0,6,0,0,10
조평견,1,0,2,2,2,0,0,0,0,0,3,0,0,10
장합교,1,0,1,1,0,0,0,0,0,0,7,0,0,10
편장합,1,0,4,0,0,0,0,0,0,0,5,0,0,10
추득만,1,0,0,0,0,0,0,0,0,0,9,0,0,10
남익황,0,0,4,1,0,0,0,0,0,0,5,0,0,10
육만춘,0,0,0,1,3,0,0,0,0,0,6,0,0,10
지혁궁,1,0,0,0,0,0,0,0,0,0,9,0,0,10
이소현,1,0,5,2,1,0,0,0,0,0,1,0,0,10
박인우,0,0,0,2,0,0,0,0,0,0,8,0,0,10
이형석,0,0,8,0,0,0,0,0,0,1,1,0,0,10
김주영,0,0,0,0,0,0,0,0,0,0,10,0,0,10
장순용,0,0,1,5,0,3,0,0,0,0,0,0,1,10
이재화,0,0,6,0,0,0,0,0,0,0,4,0,0,10
박준영,0,0,5,2,0,0,0,0,0,0,3,0,0,10
김준태,1,0,7,1,1,0,0,0,0,0,0,0,0,10
양지웅,1,0,8,0,0,0,0,0,0,0,1,0,0,10
최주원,0,0,0,1,0,0,0,0,0,0,9,0,0,10
이두희,1,0,6,0,0,0,0,0,0,0,3,0,0,10
피바다,0,0,0,3,1,1,1,0,0,0,4,0,0,10
김영숙,0,0,5,2,0,0,0,0,0,0,3,0,0,10
이정숙,0,0,8,0,1,0,0,0,0,0,1,0,0,10
조정희,1,0,0,1,1,0,0,0,0,0,7,0,0,10
박순자,0,0,1,2,0,0,0,0,0,0,7,0,0,10
김영자,1,0,0,0,0,0,0,0,0,0,9,0,0,10
박지훈,0,0,0,2,0,0,0,0,0,0,8,0,0,10
김동현,1,0,0,0,0,0,0,0,0,0,9,0,0,10
이현우,0,0,1,2,1,0,0,0,0,0,6,0,0,10
김성민,0,0,0,0,0,0,0,0,0,0,10,0,0,10
박정훈,1,0,1,1,0,0,0,0,0,0,7,0,0,10
이영식,0,0,5,1,1,0,0,1,1,0,1,0,0,10
강진영,1,0,0,2,0,0,0,0,0,0,7,0,0,10
임혜민,1,0,3,5,1,0,0,0,0,0,0,0,0,10
김주연,1,0,0,0,1,0,0,0,0,0,8,0,0,10
김상아,1,0,7,0,0,0,0,0,0,0,2,0,0,10
이상민,0,0,1,0,0,0,0,0,0,0,9,0,0,10
이수민,0,0,0,1,0,0,0,0,1,0,8,0,0,10
정보경,1,0,3,1,0,1,0,0,0,0,4,0,0,10
정지은,0,0,2,1,0,0,3,1,0,1,2,0,0,10
김은진,1,0,0,2,1,0,0,0,0,0,6,0,0,10
이승현,0,0,0,3,0,1,0,0,0,0,6,0,0,10
김수진,0,0,0,1,0,0,0,0,0,0,9,0,0,10
고경서,1,0,4,3,0,0,0,0,0,0,2,0,0,10
김완수,1,0,1,1,0,0,0,0,0,0,7,0,0,10
이선화,1,0,0,0,0,0,0,0,0,0,9,0,0,10
김민수,1,0,6,0,0,0,0,0,0,0,3,0,0,10
박소연,0,1,4,1,1,1,1,0,0,1,0,0,0,10
권세린,1,0,0,0,0,0,0,0,0,0,9,0,0,10
최지은,1,0,3,2,0,0,0,0,0,0,4,0,0,10
최정화,0,0,3,0,0,1,0,0,0,0,6,0,0,10
최경주,1,0,2,0,0,0,0,0,0,0,7,0,0,10
이연진,1,0,1,2,0,0,0,0,0,0,6,0,0,10
권제원,1,0,6,2,1,0,0,0,0,0,0,0,0,10
유지혜,0,0,1,0,0,0,0,0,0,0,9,0,0,10
이두형,1,0,3,1,1,0,0,0,0,0,4,0,0,10
정세영,0,0,0,0,0,0,0,0,0,0,10,0,0,10
황아현,1,0,3,0,2,0,0,0,0,0,4,0,0,10
김서현,0,0,0,0,0,0,0,0,0,0,10,0,0,10
장다연,0,0,5,4,0,0,0,0,0,0,1,0,0,10
최웅철,1,0,4,0,1,0,0,0,0,0,4,0,0,10
김경아,0,0,5,2,1,0,0,0,0,0,2,0,0,10
박지혜,0,0,0,4,1,3,0,0,0,0,2,0,0,10
김혜란,0,0,1,0,0,0,0,0,0,0,9,0,0,10
김보경,1,0,1,0,0,0,1,0,1,0,6,0,0,10
김지연,1,0,0,0,0,0,0,0,0,0,9,0,0,10
윤다형,1,0,4,0,0,0,0,0,0,0,5,0,0,10
윤동주,0,0,0,0,0,0,0,0,0,0,10,0,0,10
흑화당,0,0,9,0,0,0,0,0,0,0,1,0,0,10
박종영,0,0,1,3,2,0,0,0,0,0,4,0,0,10
김광규,0,0,9,0,0,0,0,0,0,0,1,0,0,10
김규리,1,0,2,2,0,0,0,0,0,0,5,0,0,10
이민선,1,0,1,7,0,0,1,0,0,0,0,0,0,10
이수진,0,0,5,0,0,0,0,0,0,0,5,0,0,10
